rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude
493,Zuni and Family,17900000,"6,74,62,69,458",People & Blogs,zuni and family,2,nan,nan,People,4057766,nan,7733,4,0,0.02,0.01,0.19,nan,2020,Jul,15,nan,nan,nan,nan,nan,nan
494,Priyal Kukreja,17800000,"11,05,79,45,183",People & Blogs,Priyal Kukreja,772,India,IN,People,378,83,29,431390000,107800,1700000,1300000,20700000,900000,2021,Apr,23,28.1,1366417754,5.36,471031528,20.593684,78.96288
495,MSA previously My Story Animated,17800000,"8,58,87,04,539",Film & Animation,MSA Previously My Story Animated,26,United States,US,People,3976090,5208,4978,20708,5,83,62,994,2960,2021,Nov,9,88.2,328239523,14.7,270663028,37.09024,-95.712891
496,ýýýýýýýýý KIMPRO,17700000,"19,20,67,01,832",nan,ýýýýýýýýý KIMPRO,1646,South Korea,KR,People,125,9,26,3404000000,850900,13600000,10200000,163400000,3200000,2017,Nov,11,94.3,51709098,4.15,42106719,35.907757,127.766922
497,Jane ASMR ï¿½ï¿½,17700000,"7,38,76,21,644",nan,Jane ASMR ï¿½ï¿½,1888,South Korea,KR,People,762,11,30,102803000,0,0,0,0,nan,2012,Nov,17,94.3,51709098,4.15,42106719,35.907757,127.766922
498,ArianaGrandeVevo,17700000,"20,11,55,44,708",Music,ArianaGrandeVevo,178,United States,US,Music,122,127,108,97422000,24400,389700,292300,4700000,nan,2010,Oct,21,88.2,328239523,14.7,270663028,37.09024,-95.712891
499,jaanvi patel,17700000,"7,91,27,33,203",People & Blogs,jaanvi patel,512,India,IN,People,671,84,30,346753000,86700,1400000,1000000,16600000,900000,2018,Jul,18,28.1,1366417754,5.36,471031528,20.593684,78.96288
500,tanboy kun,17700000,"3,64,72,67,655",People & Blogs,tanboy kun,739,Indonesia,ID,Entertainment,2169,17,122,48174000,12000,192700,144500,2300000,100000,2016,Oct,27,36.3,270203917,4.69,151509724,-0.789275,113.921327
501,Lil Pump,17700000,"4,19,60,61,192",Music,Lil Pump,60,nan,nan,Music,1785,nan,108,9243000,0,0,0,0,nan,2015,Oct,15,nan,nan,nan,nan,nan,nan
502,Porta dos Fundos,17700000,"7,73,90,48,000",Entertainment,Porta dos Fundos,2240,Brazil,BR,Entertainment,705,27,123,35337000,8800,141300,106000,1700000,nan,2012,Mar,12,51.3,212559417,12.08,183241641,-14.235004,-51.92528
503,News 24,17700000,"8,39,68,75,537",News & Politics,24 ï¿½ï¿½ï¿½ï,211620,Ukraine,UA,News,880,24,112,370779000,92700,1500000,1100000,17800000,230000,2006,Feb,5,82.7,44385155,8.88,30835699,48.379433,31.16558
504,Les' Copaque Production,17700000,"9,05,96,96,049",Film & Animation,Les' Copaque Production,1716,Malaysia,MY,Entertainment,531,1,123,117727000,29400,470900,353200,5700000,200000,2009,Nov,9,45.1,32447385,3.32,24475766,4.210484,101.975766
505,El Payaso Plim Plim,17700000,"17,24,75,84,185",Film & Animation,El Payaso Plim Plim,1316,Argentina,AR,Music,162,10,107,640030000,160000,2600000,1900000,30700000,600000,2013,Oct,18,90,44938712,9.79,41339571,-38.416097,-63.616672
506,zbing z.,17600000,"9,26,91,74,070",Gaming,zbing z.,3151,Thailand,TH,Games,511,7,36,55127000,13800,220500,165400,2600000,nan,2014,Mar,12,49.3,69625582,0.75,35294600,15.870032,100.992541
507,MissaSinfonia,17600000,"2,27,40,07,523",Comedy,MissaSinfonia,233,Mexico,MX,Comedy,4139,17,25,27445000,6900,109800,82300,1300000,100000,2011,Jan,5,40.2,126014024,3.42,102626859,23.634501,-102.552784
508,ýýýýýýýýý Liziqi,17600000,"2,97,77,41,577",Howto & Style,ýýýýýýýýý Liziqi,128,China,CN,Howto,2917,1,16,22354000,5600,89400,67100,1100000,100000,2017,Aug,22,50.6,1397715000,4.32,842933962,35.86166,104.195397
509,The Game Theorists,17600000,"3,75,23,47,262",Gaming,TheGameTheorists,0,Australia,AU,nan,3612215,6095,nan,nan,0,0,0,0,nan,nan,nan,nan,113.1,25766605,5.27,21844756,-25.274398,133.775136
510,DeGoBooM,17600000,"6,30,62,04,566",Gaming,DeGoBooM,4702,Chile,CL,Games,973,3,36,100215000,25100,400900,300600,4800000,500000,2014,Feb,1,88.5,18952038,7.09,16610135,-35.675147,-71.542969
511,JFlaMusic,17600000,"3,80,22,80,098",Music,JFlaMusic,326,South Korea,KR,Music,2056,12,109,11099000,2800,44400,33300,532700,nan,2011,Aug,22,94.3,51709098,4.15,42106719,35.907757,127.766922
512,FactTechz,17500000,"2,23,81,34,438",Entertainment,FactTechz,709,India,IN,Entertainment,4243,86,124,21056000,5300,84200,63200,1000000,nan,2016,Jul,24,28.1,1366417754,5.36,471031528,20.593684,78.96288
513,News18 India,17500000,"7,26,36,19,576",News & Politics,News18 India,182742,India,IN,News,770,85,10,394106000,98500,1600000,1200000,18900000,700000,2007,Oct,25,28.1,1366417754,5.36,471031528,20.593684,78.96288
514,Fun For Kids TV - Hindi Rhymes,17500000,"7,61,23,85,622",Entertainment,Fun For Kids TV - Hindi Rhymes,149,India,IN,Entertainment,723,86,124,109847000,27500,439400,329500,5300000,300000,2017,Sep,27,28.1,1366417754,5.36,471031528,20.593684,78.96288
515,IGN,17500000,"16,10,71,16,549",Gaming,IGN,156215,United States,US,Games,189,129,37,98342000,24600,393400,295000,4700000,nan,2006,Sep,19,88.2,328239523,14.7,270663028,37.09024,-95.712891
516,Aphmau,17400000,"17,76,35,86,483",Gaming,Aphmau,4411,United States,US,Games,152,129,37,439870000,110000,1800000,1300000,21100000,400000,2012,Aug,13,88.2,328239523,14.7,270663028,37.09024,-95.712891
517,AMARINTV : ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,17400000,"13,04,35,61,912",Entertainment,AMARINTV : ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,118448,Thailand,TH,News,286,8,11,235993000,59000,944000,708000,11300000,200000,2014,Feb,5,49.3,69625582,0.75,35294600,15.870032,100.992541
518,ýýýýýýýýýýýýýýýý - Al-Remas,17400000,"11,14,41,95,464",Music,ýýýýýýýýýýýýýýýý - Al-Remas,2133,Iraq,IQ,Music,371,1,110,113003000,28300,452000,339000,5400000,nan,2013,Sep,27,16.2,39309783,12.82,27783368,33.223191,43.679291
519,Koray Zeynep,17400000,"16,56,05,57,488",People & Blogs,Koray Zeynep,2078,nan,nan,People,173,nan,31,426389000,106600,1700000,1300000,20500000,400000,2016,Jul,8,nan,nan,nan,nan,nan,nan
520,Apple,17300000,"1,02,64,25,106",Science & Technology,Apple,180,United States,US,Tech,11274,130,9,46484000,11600,185900,139500,2200000,100000,2005,Jun,22,88.2,328239523,14.7,270663028,37.09024,-95.712891
521,Stubborn Facts,17300000,"90,22,25,615",Film & Animation,Stubborn Facts,287,India,IN,Entertainment,13315,87,125,837850,209,3400,2500,40200,nan,2016,Sep,5,28.1,1366417754,5.36,471031528,20.593684,78.96288
522,Taarak Mehta Ka Ooltah Chashmah,17300000,"11,37,17,38,047",Entertainment,Taarak Mehta Ka Ooltah Chashmah,4778,India,IN,Entertainment,356,87,125,331944000,83000,1300000,995800,15900000,300000,2014,Aug,4,28.1,1366417754,5.36,471031528,20.593684,78.96288
523,HowToBasic,17300000,"3,68,48,16,159",Howto & Style,HowToBasic,582,Australia,AU,Howto,2146,6,17,15525000,3900,62100,46600,745200,nan,2011,Dec,8,113.1,25766605,5.27,21844756,-25.274398,133.775136
524,PopularMMOs,17200000,"14,57,31,55,899",Gaming,PopularMMOs,4685,nan,nan,Games,240,nan,38,15296000,3800,61200,45900,734200,100000,2012,Apr,17,nan,nan,nan,nan,nan,nan
525,Marques Brownlee,17200000,"3,60,69,12,471",Science & Technology,Marques Brownlee,1567,United States,US,Tech,2196,131,10,52325000,13100,209300,157000,2500000,100000,2008,Mar,21,88.2,328239523,14.7,270663028,37.09024,-95.712891
526,Anitta,17200000,"7,33,72,12,581",Music,Anitta,138,Brazil,BR,Music,769,28,111,72684000,18200,290700,218100,3500000,nan,2011,Nov,2,51.3,212559417,12.08,183241641,-14.235004,-51.92528
527,Jason Vlogs,17200000,"8,90,36,47,480",Education,Jason Oo,83,Australia,AU,People,4031958,3450,7408,25,0.01,0.1,0.08,1,nan,2014,Sep,11,113.1,25766605,5.27,21844756,-25.274398,133.775136
528,El Reino a Jugar,17200000,"11,44,54,92,404",Education,El Reino a Jugar,1007,Argentina,AR,Education,353,11,28,83709000,20900,334800,251100,4000000,100000,2015,Mar,3,90,44938712,9.79,41339571,-38.416097,-63.616672
529,Willyrex,17200000,"5,02,40,88,947",Gaming,Willyrex,7550,Spain,ES,Games,1359,9,38,15405000,3900,61600,46200,739500,nan,2009,Aug,9,88.9,47076781,13.96,37927409,40.463667,-3.74922
530,TheBrianMaps,17100000,"4,44,83,34,716",Comedy,TheBrianMaps,498,Russia,RU,Entertainment,1624,6,126,37164000,9300,148700,111500,1800000,100000,2012,Jun,4,81.9,144373535,4.59,107683889,61.52401,105.318756
531,TRANS TV Official,17100000,"9,71,09,62,528",Entertainment,TRANS TV Official,148225,Indonesia,ID,Entertainment,472,18,127,45811000,11500,183200,137400,2200000,100000,2014,Sep,2,36.3,270203917,4.69,151509724,-0.789275,113.921327
532,Liza Koshy,17100000,"2,17,31,06,162",Comedy,Liza Koshy,142,United States,US,Entertainment,4443,132,127,1761000,440,7000,5300,84500,nan,2013,Sep,2,88.2,328239523,14.7,270663028,37.09024,-95.712891
533,Queen Official,17000000,"10,84,79,48,832",Music,Queen Official,1015,United Kingdom,GB,Music,385,21,112,93768000,23400,375100,281300,4500000,100000,2008,Jul,7,60,66834405,3.85,55908316,55.378051,-3.435973
534,Prajapati News,17000000,"1,00,14,65,469",Comedy,Prajapati News,1407,India,IN,Entertainment,11662,89,128,7626000,1900,30500,22900,366100,100000,2013,Mar,14,28.1,1366417754,5.36,471031528,20.593684,78.96288
535,Gaby and Alex,17000000,"8,22,98,83,114",Entertainment,gabyandalex,1,nan,nan,People,4057752,nan,7732,nan,0,0,0,0,nan,2008,Aug,21,nan,nan,nan,nan,nan,nan
536,LuisFonsiVEVO,17000000,"14,54,35,94,822",Music,LuisFonsiVEVO,97,United States,US,Music,241,133,112,49817000,12500,199300,149500,2400000,nan,2009,May,12,88.2,328239523,14.7,270663028,37.09024,-95.712891
537,Pop Chartbusters,16900000,"8,68,40,10,451",Music,Pop Chartbusters,2235,India,IN,Music,574,90,113,72911000,18200,291600,218700,3500000,200000,2011,Aug,26,28.1,1366417754,5.36,471031528,20.593684,78.96288
538,Guava Juice,16900000,"9,11,10,00,228",Gaming,Guava Juice,1910,United States,US,Entertainment,527,134,129,10889000,2700,43600,32700,522600,nan,2006,Jul,18,88.2,328239523,14.7,270663028,37.09024,-95.712891
539,EeOneGuy,16900000,"3,82,79,06,874",Entertainment,EeOneGuy,366,United States,US,Entertainment,2039,134,129,1635000,409,6500,4900,78500,nan,2013,Mar,19,88.2,328239523,14.7,270663028,37.09024,-95.712891
540,VICE,16900000,"4,60,97,53,237",Entertainment,VICE,3900,United States,US,Entertainment,1543,134,129,36357000,9100,145400,109100,1700000,100000,2005,Dec,16,88.2,328239523,14.7,270663028,37.09024,-95.712891
541,Aayu and Pihu Show,16900000,"9,27,03,31,567",Comedy,Aayu and Pihu Show,441,India,IN,People,510,90,34,89782000,22400,359100,269300,4300000,nan,2017,May,8,28.1,1366417754,5.36,471031528,20.593684,78.96288
542,Danny Fitt,16900000,"9,54,42,77,833",People & Blogs,Danny Fitt,2337,United States,US,Entertainment,488,134,129,275264000,68800,1100000,825800,13200000,700000,2016,Dec,31,88.2,328239523,14.7,270663028,37.09024,-95.712891
543,Bispo Bruno Leonardo,16900000,"3,52,35,78,665",Nonprofits & Activism,Bispo Bruno Leonardo,4891,Brazil,BR,Nonprofit,2307,29,2,149543000,37400,598200,448600,7200000,400000,2016,Apr,10,51.3,212559417,12.08,183241641,-14.235004,-51.92528
544,DeToxoMoroxo,16800000,"2,31,59,62,318",Entertainment,de toxomoroxo,1,nan,nan,Music,4056488,nan,5767,nan,0,0,0,0,nan,2016,Apr,30,nan,nan,nan,nan,nan,nan
545,Doggy Doggy Cartoons,16800000,"6,51,84,18,501",Entertainment,Doggy Doggy Cartoons,0,nan,nan,nan,4057944,nan,nan,nan,0,0,0,0,nan,2018,Nov,11,nan,nan,nan,nan,nan,nan
546,deepesh zo,16800000,"7,20,64,62,713",People & Blogs,deepesh zo,41,nan,nan,People,4038822,nan,7611,1,0,0,0,0.05,1,2021,Sep,24,nan,nan,nan,nan,nan,nan
547,Like Nastya IDN,16800000,"7,19,53,14,800",Entertainment,Like Nastya IDN,502,Indonesia,ID,Entertainment,795,19,130,42836000,10700,171300,128500,2100000,100000,2019,Nov,22,36.3,270203917,4.69,151509724,-0.789275,113.921327
548,Gato Galactico | GALï¿½ï¿,16800000,"3,69,37,98,804",Film & Animation,Gato Galactico | GALï¿½ï¿,1491,Brazil,BR,Entertainment,2129,30,130,44121000,11000,176500,132400,2100000,100000,2013,Apr,2,51.3,212559417,12.08,183241641,-14.235004,-51.92528
549,Salman Noman,16700000,"10,39,30,37,902",Entertainment,salman Noman,3,nan,nan,nan,4057674,nan,nan,7,0,0.03,0.02,0.34,10,2022,May,14,nan,nan,nan,nan,nan,nan
550,CoryxKenshin,16700000,"7,10,29,65,621",Gaming,CoryxKenshin,1693,United States,US,Games,814,135,39,105114000,26300,420500,315300,5000000,200000,2009,Apr,27,88.2,328239523,14.7,270663028,37.09024,-95.712891
551,With Kids[ï¿½ï¿½ï¿½ï¿½ï,16700000,"8,82,61,38,204",Entertainment,With Kids[ï¿½ï¿½ï¿½ï¿½ï,920,United States,US,Entertainment,559,135,130,45698000,11400,182800,137100,2200000,100000,2012,Jul,6,88.2,328239523,14.7,270663028,37.09024,-95.712891
552,Travis Scott,16700000,"7,97,97,36,581",Music,Travis Scott,13,United States,US,Music,564542,1920,1751,37623,9,150,113,1800,nan,2010,Sep,1,88.2,328239523,14.7,270663028,37.09024,-95.712891
553,Tu COSMOPOLIS,16700000,"5,08,92,84,369",People & Blogs,Tu COSMOPOLIS,8741,Mexico,MX,People,1337,19,35,16139000,4000,64600,48400,774700,nan,2014,Aug,28,40.2,126014024,3.42,102626859,23.634501,-102.552784
554,Ivana Alawi,16600000,"1,31,84,42,641",nan,Ivana Alawi,180,Philippines,PH,People,8338,5,36,15079000,3800,60300,45200,723800,100000,2018,Jun,1,35.5,108116615,2.15,50975903,12.879721,121.774017
555,Werever2morro,16600000,"2,79,82,73,962",Entertainment,werever2morro,0,Mexico,MX,Games,4057944,4248,7462,nan,0,0,0,0,nan,2010,Dec,7,40.2,126014024,3.42,102626859,23.634501,-102.552784
556,IDEAS EN 5 MINUTOS,16600000,"3,69,69,73,456",Howto & Style,Ideas En 5 Minutos,216,Spain,ES,nan,3108857,2753,nan,65470,16,262,196,3100,nan,2017,Apr,2,88.9,47076781,13.96,37927409,40.463667,-3.74922
557,NMF News,16600000,"7,43,51,80,827",News & Politics,NMF News,112261,India,IN,News,749,91,12,59201000,14800,236800,177600,2800000,100000,2013,Oct,22,28.1,1366417754,5.36,471031528,20.593684,78.96288
558,SriBalajiMovies,16600000,"9,43,98,57,193",Entertainment,SriBalajiMovies,20102,India,IN,Entertainment,497,91,132,154049000,38500,616200,462100,7400000,200000,2011,Sep,29,28.1,1366417754,5.36,471031528,20.593684,78.96288
559,Lahari Music - TSeries,16600000,"11,94,62,17,860",Music,Lahari Music - TSeries,8976,India,IN,Music,326,91,115,89012000,22300,356000,267000,4300000,100000,2011,Nov,21,28.1,1366417754,5.36,471031528,20.593684,78.96288
560,Younes Zarou,16600000,"15,27,86,68,857",Entertainment,Younes Zarou,2200,Germany,DE,Entertainment,213,4,131,617257000,154300,2500000,1900000,29600000,900000,2021,May,6,70.2,83132799,3.04,64324835,51.165691,10.451526
561,Jordan Matter,16600000,"5,81,95,08,534",Entertainment,Jordan Matter,413,United States,US,Entertainment,1088,136,132,199033000,49800,796100,597100,9600000,300000,2006,Dec,21,88.2,328239523,14.7,270663028,37.09024,-95.712891
562,ýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýý,16500000,"2,44,09,34,034",Entertainment,ýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýý,421,United States,US,Entertainment,3778,137,133,21953000,5500,87800,65900,1100000,200000,2014,Mar,9,88.2,328239523,14.7,270663028,37.09024,-95.712891
563,FailArmy,16500000,"3,03,72,60,680",Comedy,FailArmy,438,United States,US,Entertainment,2766,137,133,112986000,28200,451900,339000,5400000,100000,2011,Jul,5,88.2,328239523,14.7,270663028,37.09024,-95.712891
564,BBC News Hindi,16500000,"7,04,32,35,131",News & Politics,BBC News Hindi,21243,India,IN,News,821,92,13,131202000,32800,524800,393600,6300000,300000,2009,Sep,22,28.1,1366417754,5.36,471031528,20.593684,78.96288
565,FunFun Toy Doll TV,16500000,"7,40,62,07,930",Entertainment,FunFun Toy Doll TV,735,United States,US,Entertainment,757,137,133,24378000,6100,97500,73100,1200000,nan,2016,May,31,88.2,328239523,14.7,270663028,37.09024,-95.712891
566,Sandra Cires Art,16400000,"3,95,54,26,159",Howto & Style,Sandra Cires Art,1091,United States,US,Entertainment,1938,138,134,18028000,4500,72100,54100,865300,nan,2011,Sep,27,88.2,328239523,14.7,270663028,37.09024,-95.712891
567,Kaykai Salaider,16400000,"4,43,46,79,706",Comedy,Kaykai Salaider,428,Thailand,TH,Entertainment,1636,9,134,9341000,2300,37400,28000,448400,nan,2011,Jan,24,49.3,69625582,0.75,35294600,15.870032,100.992541
568,UFC - Ultimate Fighting Championship,16400000,"7,13,58,20,721",Sports,UFC - Ultimate Fighting Championship,14662,United States,US,Sports,806,138,7,133208000,33300,532800,399600,6400000,100000,2006,Mar,4,88.2,328239523,14.7,270663028,37.09024,-95.712891
569,Ch7HD,16400000,"9,46,32,44,435",Entertainment,Ch7HD,56203,Thailand,TH,Entertainment,496,9,134,87757000,21900,351000,263300,4200000,100000,2010,May,17,49.3,69625582,0.75,35294600,15.870032,100.992541
570,RCTI - LAYAR DRAMA INDONESIA,16400000,"13,47,83,92,540",Entertainment,RCTI - LAYAR DRAMA INDONESIA,1,nan,nan,People,4057943,nan,7724,nan,0,0,0,0,nan,2020,Oct,19,nan,nan,nan,nan,nan,nan
571,Alfredo Larin,16400000,"14,43,18,30,557",Entertainment,Alfredo Larin,1,nan,nan,Entertainment,4057780,nan,6788,1,0,0,0,0.05,nan,2015,Nov,23,nan,nan,nan,nan,nan,nan
572,GMMTV OFFICIALï¿½ï¿½,16400000,"12,84,44,32,341",Entertainment,GMMTV OFFICIALï¿½ï¿½,23952,Thailand,TH,Entertainment,294,9,134,181382000,45300,725500,544100,8700000,200000,2010,Sep,13,49.3,69625582,0.75,35294600,15.870032,100.992541
573,Matt Stonie,16300000,"3,52,76,27,264",Entertainment,MattStonie,54,United States,US,Entertainment,283499,1874,1836,29735,7,119,89,1400,nan,2010,Jun,19,88.2,328239523,14.7,270663028,37.09024,-95.712891
574,Boyce Avenue,16300000,"6,57,88,28,147",Music,Boyce Avenue,490,United States,US,Music,913,139,117,28787000,7200,115100,86400,1400000,nan,2007,Sep,2,88.2,328239523,14.7,270663028,37.09024,-95.712891
575,Camila Cabello,16300000,"6,61,34,22,635",Music,Camila Cabello,80,United States,US,Music,906,139,117,42704000,10700,170800,128100,2000000,100000,2015,Aug,11,88.2,328239523,14.7,270663028,37.09024,-95.712891
576,Little Mix,16300000,"7,52,02,42,626",Music,Little Mix,278,United Kingdom,GB,Music,740,22,117,38604000,9700,154400,115800,1900000,nan,2011,Nov,30,60,66834405,3.85,55908316,55.378051,-3.435973
577,SAM SMITH,16300000,"10,17,02,64,839",Music,SAM SMITH,230,United Kingdom,GB,Entertainment,428,22,135,85778000,21400,343100,257300,4100000,nan,2012,Sep,14,60,66834405,3.85,55908316,55.378051,-3.435973
578,Pitbull,16300000,"12,47,57,14,382",Music,Pitbull,352,United States,US,Music,308,139,117,88004000,22000,352000,264000,4200000,nan,2006,Jul,5,88.2,328239523,14.7,270663028,37.09024,-95.712891
579,Bollywood Classics,16300000,"7,14,18,25,267",Entertainment,Bollywood Classics,1444,India,IN,Music,804,93,116,151477000,37900,605900,454400,7300000,300000,2011,Oct,13,28.1,1366417754,5.36,471031528,20.593684,78.96288
580,Technoblade,16300000,"1,65,64,52,554",Gaming,Technoblade,989,United States,US,Games,6274,138,40,17944000,4500,71800,53800,861300,200000,2013,Oct,28,88.2,328239523,14.7,270663028,37.09024,-95.712891
581,W2S,16300000,"4,76,83,70,464",Gaming,W2S,652,United Kingdom,GB,Entertainment,1455,22,135,3079000,770,12300,9200,147800,nan,2012,Jul,26,60,66834405,3.85,55908316,55.378051,-3.435973
582,Jennifer Lopez,16200000,"10,22,72,42,833",Music,Jennifer Lopez,258,United States,US,Music,426,140,118,63441000,15900,253800,190300,3000000,nan,2005,Nov,18,88.2,328239523,14.7,270663028,37.09024,-95.712891
583,Kids Play,16200000,"8,09,17,06,232",Entertainment,Kids Play,593,United States,US,Entertainment,636,140,136,25912000,6500,103600,77700,1200000,nan,2018,May,14,88.2,328239523,14.7,270663028,37.09024,-95.712891
584,T3ddy,16200000,"2,99,01,85,467",Comedy,T3ddy,1930,Brazil,BR,People,2898,31,38,33015000,8300,132100,99000,1600000,100000,2012,Jan,16,51.3,212559417,12.08,183241641,-14.235004,-51.92528
585,JJ Olatunji,16200000,"4,07,66,92,623",Gaming,JJ Olatunji,1294,United Kingdom,GB,Entertainment,1856,23,136,27808000,7000,111200,83400,1300000,100000,2011,Jan,26,60,66834405,3.85,55908316,55.378051,-3.435973
586,POPS Kids,16200000,"9,76,35,92,867",Music,POPS Kids,3943,Vietnam,VN,Film,462,2,30,256733000,64200,1000000,770200,12300000,200000,2014,Jan,14,28.5,96462106,2.01,35332140,14.058324,108.277199
587,Thairath Online,16200000,"14,56,38,41,315",News & Politics,Thairath Online,244899,Thailand,TH,News,238,10,14,224756000,56200,899000,674300,10800000,100000,2010,Sep,27,49.3,69625582,0.75,35294600,15.870032,100.992541
588,LEGO,16200000,"20,52,23,39,099",Entertainment,LEGO,31889,Singapore,SG,Entertainment,116,1,136,117209000,29300,468800,351600,5600000,200000,2005,Oct,22,84.8,5703569,4.11,5703569,1.352083,103.819836
589,XO TEAM,16200000,"14,78,47,81,923",People & Blogs,XO TEAM Family,189,United States,US,People,153622,1776,1495,37911,9,152,114,1800,1000,2020,Sep,12,88.2,328239523,14.7,270663028,37.09024,-95.712891
590,AdMe,16200000,"4,48,86,80,903",Entertainment,Aday Cï¿½ï¿½ï¿½ï¿½ï,10,Spain,ES,Music,4048675,4228,5766,4,0,0.02,0.01,0.19,nan,2006,May,2,88.9,47076781,13.96,37927409,40.463667,-3.74922
591,ExtraPolinesios,16200000,"4,81,31,27,504",People & Blogs,Extra polinesios,2,nan,nan,People,3945744,nan,7359,510,0.13,2,2,24,1,2015,Nov,21,nan,nan,nan,nan,nan,nan
592,Dyland PROS,16100000,"1,51,76,38,132",Entertainment,Dyland PROS,2805,Indonesia,ID,Games,6986,21,41,9619000,2400,38500,28900,461700,nan,2015,Jan,28,36.3,270203917,4.69,151509724,-0.789275,113.921327
593,Live,16100000,0,nan,Live,0,nan,nan,nan,4057944,nan,nan,nan,0,0,0,0,nan,2015,Jan,13,nan,nan,nan,nan,nan,nan
594,Vlad and Niki ARA,16100000,"7,39,92,96,005",nan,Vlad and Niki ARA,510,United States,US,Entertainment,759,141,137,32011000,8000,128000,96000,1500000,100000,2019,May,24,88.2,328239523,14.7,270663028,37.09024,-95.712891
595,Canal IN,16100000,"2,68,74,43,643",People & Blogs,Canal IN,723,Brazil,BR,Entertainment,3338,32,137,13802000,3500,55200,41400,662500,nan,2017,Jul,21,51.3,212559417,12.08,183241641,-14.235004,-51.92528
596,TWICE,16100000,"5,05,55,76,881",Music,TWICE,1123,nan,nan,Music,1343,nan,119,98720000,24700,394900,296200,4700000,100000,2016,Mar,27,nan,nan,nan,nan,nan,nan
597,Daily Dose Of Internet,16100000,"6,87,27,02,790",Entertainment,Daily Dose Of Internet,671,United States,US,Entertainment,851,140,136,399807000,100000,1600000,1200000,19200000,300000,2015,Jul,15,88.2,328239523,14.7,270663028,37.09024,-95.712891
598,FitDance,16100000,"7,12,62,10,721",Music,Fitdance Academy,41,France,FR,Entertainment,4006012,3726,6335,780,0.2,3,2,37,4,2006,Nov,20,65.6,67059887,8.43,54123364,46.227638,2.213749
599,Panda Shorts,16100000,"7,15,57,36,006",nan,Panda Shorts,667,Sweden,SE,Sports,792,2,8,478528000,119600,1900000,1400000,23000000,3000000,2020,Nov,21,67,10285453,6.48,9021165,60.128161,18.643501
600,Disney Junior,16100000,"15,81,20,09,296",Entertainment,Disney Junior,4045,United States,US,Entertainment,196,140,136,267131000,66800,1100000,801400,12800000,300000,2008,Apr,22,88.2,328239523,14.7,270663028,37.09024,-95.712891
601,La Rosa de Guadalupe,16100000,"9,64,21,46,451",Entertainment,larosadeguadalupe,0,Mexico,MX,Games,4057944,4258,7472,nan,0,0,0,0,nan,2008,Sep,3,40.2,126014024,3.42,102626859,23.634501,-102.552784
602,sagar kalra (Shorts),16000000,"6,54,36,29,679",People & Blogs,sagar kalra (Shorts),453,nan,nan,People,921,nan,39,74062000,18500,296200,222200,3600000,200000,2017,Jun,30,nan,nan,nan,nan,nan,nan
603,wifistudy,16000000,"3,01,80,32,423",Education,wifistudy by Unacademy,52144,India,IN,Education,2855,94,30,14287000,3600,57100,42900,685800,nan,2014,Jul,26,28.1,1366417754,5.36,471031528,20.593684,78.96288
604,Antrax,16000000,"3,02,98,72,908",Gaming,Antrax,687,Mexico,MX,Games,2844,23,42,4698000,1200,18800,14100,225500,nan,2015,May,25,40.2,126014024,3.42,102626859,23.634501,-102.552784
605,Enes Batur,16000000,"9,78,65,95,271",Gaming,enesbatur,0,nan,nan,Games,4057944,nan,7360,nan,0,0,0,0,11,2007,Mar,4,nan,nan,nan,nan,nan,nan
606,Totoy kids - Espaï¿½ï,16000000,"5,99,75,99,089",Film & Animation,Totoy kids - Espaï¿½ï,344,Mexico,MX,Film,1048,23,31,112393000,28100,449600,337200,5400000,200000,2017,Sep,7,40.2,126014024,3.42,102626859,23.634501,-102.552784
607,ýýýýýýýýýý,15900000,"1,84,53,29,502",People & Blogs,Kung Fu Padla,0,Russia,RU,Games,4057944,3309,5665,nan,0,0,0,0,10,2017,May,27,81.9,144373535,4.59,107683889,61.52401,105.318756
608,DopeLyrics,15900000,"9,96,21,88,084",Music,DopeLyrics,2035,United States,US,Music,444,142,120,9915000,2500,39700,29700,475900,nan,2016,Jun,9,88.2,328239523,14.7,270663028,37.09024,-95.712891
609,jeffreestar,15900000,"2,60,93,58,468",Howto & Style,jeffreestar,433,United States,US,Howto,3474,142,20,2006000,502,8000,6000,96300,nan,2006,Feb,14,88.2,328239523,14.7,270663028,37.09024,-95.712891
610,Lyna,15900000,"6,53,43,26,412",Gaming,Lyna,4906,Argentina,AR,Games,919,12,43,64085000,16000,256300,192300,3100000,200000,2014,Sep,8,90,44938712,9.79,41339571,-38.416097,-63.616672
611,MK MUSIC,15900000,"9,19,89,86,881",Music,MK MUSIC,5105,Brazil,BR,Music,516,33,120,136388000,34100,545600,409200,6500000,100000,2010,Jan,18,51.3,212559417,12.08,183241641,-14.235004,-51.92528
